theta_x_deg,theta_y_deg,counts
34.364274003635636,12.02749590127247,3
34.364274003635636,15.463923301636033,1
34.364274003635636,22.336778102363162,1
34.364274003635636,24.054991802544944,1
34.364274003635636,27.49141920290851,1
34.364274003635636,29.209632903090288,1
34.364274003635636,32.64606030345386,1
34.364274003635636,36.082487703817414,2
34.364274003635636,37.8007014039992,1
36.082487703817414,-24.054991802544947,2
36.082487703817414,-15.463923301636038,3
36.082487703817414,-12.027495901272475,2
36.082487703817414,-10.309282201090694,4
36.082487703817414,-6.872854800727129,3
36.082487703817414,-3.4364274003635664,4
36.082487703817414,-3.552713678800501e-15,2
36.082487703817414,3.436427400363563,3
36.082487703817414,6.872854800727126,1
36.082487703817414,10.309282201090689,4
36.082487703817414,15.463923301636033,2
36.082487703817414,18.9003507019996,2
36.082487703817414,22.336778102363162,3
36.082487703817414,24.054991802544944,2
36.082487703817414,27.49141920290851,1
36.082487703817414,29.209632903090288,2
36.082487703817414,34.364274003635636,2
37.8007014039992,-32.64606030345386,1
37.8007014039992,-27.49141920290851,1
37.8007014039992,-24.054991802544947,1
37.8007014039992,-12.027495901272475,2
37.8007014039992,-6.872854800727129,1
37.8007014039992,-3.4364274003635664,1
37.8007014039992,-3.552713678800501e-15,1
37.8007014039992,12.02749590127247,1
37.8007014039992,18.9003507019996,2
37.8007014039992,22.336778102363162,1
37.8007014039992,24.054991802544944,1
37.8007014039992,32.64606030345386,1
37.8007014039992,36.082487703817414,1
